"","station","glatos_array","station_no","consecutive_deploy_no","intend_lat","intend_long","deploy_lat","deploy_long","recover_lat","recover_long","deploy_date_time","recover_date_time","bottom_depth","riser_length","instrument_depth","ins_model_no","glatos_ins_frequency","ins_serial_no","code_map","code_map_comment","deployed_by","comments","glatos_seasonal","glatos_project","glatos_vps","year"
"316","HAM-042","HAM","42",8,NA,NA,43.26864,-79.93536,NA,NA,2024-03-27 14:33:00,2024-10-31 13:46:00,1.1,NA,NA,"VR2W",69,127850,"Generation-2","error 1 initialization occurred between deploy and recover",NA,NA,"No","HAMLO","No","2024"
"317","HAM-098","HAM","98",1,NA,NA,43.27531,-79.89396,NA,NA,2024-03-27 16:11:00,2024-09-04 14:05:00,0.65,NA,NA,"VR2W-Tx",69,487637,"Generation-2",NA,NA,NA,"Yes","HAMLO","No","2024"
"318","WLN-057","WLN","57",1,NA,NA,43.55137,-79.59163,NA,NA,2024-03-27 18:05:00,2024-10-31 17:08:00,1.3,NA,NA,"VR2W-TX",69,481802,"Generation-2",NA,"DFO",NA,"Yes","WLONA","No","2024"
"319","WLN-058","WLN","58",1,NA,NA,43.54839,-79.58354,NA,NA,2024-03-27 18:40:00,2024-10-31 17:08:00,1.05,NA,NA,"VR2W",69,119706,"Generation-2",NA,"DFO",NA,"No","WLONA","No","2024"
"320","WLN-055","WLN","55",1,NA,NA,43.1821,-79.37544,NA,NA,2024-03-27 20:53:00,2024-12-10 18:47:00,1,NA,NA,"VR2W",69,132818,"Generation-2",NA,"DFO",NA,"No","WLONA","No","2024"
"321","WLN-056","WLN","56",1,NA,NA,43.1576,-79.37224,NA,NA,2024-03-27 21:11:00,NA,1.2,NA,NA,"VR2W-TX",69,487628,NA,"code map not available (receiver currently deployed)","DFO",NA,"Yes","WLONA","No","2024"
"322","HAM-099","HAM","99",1,NA,NA,43.28157,-79.88982,NA,NA,2024-04-05 15:00:00,2024-08-27 14:30:00,NA,NA,NA,"VR2W-Tx",69,481722,"Generation-2",NA,NA,NA,"Yes","HAMLO","No","2024"
"323","HAM-025","HAM","25",12,NA,NA,43.30969,-79.81158,NA,NA,2024-06-12 13:59:00,2025-07-10 13:33:00,5.1,NA,NA,"VR2AR",69,552978,"Generation-2",NA,NA,NA,"No","HAMLO","No","2024"
"324","WLN-041","WLN","41",2,NA,NA,43.24592,-79.6076,NA,NA,2024-06-12 15:16:00,2025-06-24 17:55:00,14,NA,NA,"VR2WAR",69,552910,"Generation-2",NA,"DFO",NA,"No","WLONA","No","2024"
"325","WLN-007","WLN","7",9,NA,NA,43.25787,-79.60037,NA,NA,2024-06-12 15:51:00,2025-06-24 18:17:00,21,NA,NA,"VR2WAR",69,552899,"Generation-2",NA,"DFO",NA,"No","WLONA","No","2024"
"326","WLN-009","WLN","9",9,NA,NA,43.22352,-79.45905,NA,NA,2024-06-12 16:19:00,NA,20.5,NA,NA,"VR2WAR",69,548266,NA,"code map not available (receiver currently deployed)","DFO",NA,"No","WLONA","No","2024"
"327","WLN-042","WLN","42",2,NA,NA,43.19625,-79.31195,NA,NA,2024-06-12 16:47:00,2025-06-24 15:19:00,9.8,NA,NA,"VR2WAR",69,549105,"Generation-2",NA,"DFO",NA,"No","WLONA","No","2024"
"328","WLN-008","WLN","8",10,NA,NA,43.20885,-79.31941,NA,NA,2024-06-12 17:08:00,2025-06-24 14:38:00,18.5,NA,NA,"VR2WAR",69,552900,"Generation-2",NA,"DFO",NA,"No","WLONA","No","2024"
"329","WLN-043","WLN","43",2,NA,NA,43.22091,-79.32706,NA,NA,2024-06-12 17:25:00,2025-06-24 15:54:00,25.2,NA,NA,"VR2WAR",69,552898,"Generation-2",NA,"DFO",NA,"No","WLONA","No","2024"
"330","WLN-003","WLN","3",10,NA,NA,43.2512,-79.23352,NA,NA,2024-06-12 17:56:00,2025-06-24 14:55:00,16,NA,NA,"VR2WAR",69,552911,"Generation-2",NA,"DFO",NA,"No","WLONA","No","2024"
"331","HAM-003","HAM","3",12,NA,NA,43.29504,-79.79685,NA,NA,2024-06-13 13:36:00,2025-07-03 14:15:00,15.6,NA,NA,"VR2AR",69,549102,"Generation-2",NA,NA,NA,"No","HAMLO","No","2024"
"332","HAM-021","HAM","21",11,NA,NA,43.28578,-79.82647,NA,NA,2024-06-13 14:10:00,2025-07-10 14:00:00,15,NA,NA,"VR2AR",69,552973,"Generation-2",NA,NA,NA,"No","HAMLO","No","2024"
"333","HAM-017","HAM","17",12,NA,NA,43.29468,-79.8297,NA,NA,2024-06-13 14:19:00,2025-07-10 13:48:00,7,NA,NA,"VR2AR",69,549115,"Generation-2",NA,NA,NA,"No","HAMLO","No","2024"
"334","HAM-015","HAM","15",12,NA,NA,43.29365,-79.85536,NA,NA,2024-06-13 14:34:00,2025-07-10 14:16:00,7,NA,NA,"VR2AR",69,548706,"Generation-2",NA,NA,NA,"No","HAMLO","No","2024"
"335","HAM-023","HAM","23",13,NA,NA,43.28569,-79.86764,NA,NA,2024-06-13 14:50:00,2025-07-10 14:53:00,6.7,NA,NA,"VR2AR",69,548265,"Generation-2",NA,NA,NA,"No","HAMLO","No","2024"
"336","HAM-005","HAM","5",11,NA,NA,43.28102,-79.86579,NA,NA,2024-06-13 15:06:00,2025-07-10 14:27:00,13.8,NA,NA,"VR2AR",69,548282,"Generation-2",NA,NA,NA,"No","HAMLO","No","2024"
"337","HAM-085","HAM","85",2,NA,NA,43.27843,-79.8619,NA,NA,2024-06-13 16:05:00,2025-07-10 15:59:00,9.8,NA,NA,"VR2AR",69,549114,"Generation-2",NA,NA,NA,"No","HAMLO","No","2024"
"338","HAM-077","HAM","77",3,NA,NA,43.28064,-79.8693,NA,NA,2024-06-13 16:33:00,2025-07-10 14:37:00,12.7,NA,NA,"VR2AR",69,552977,"Generation-2",NA,NA,NA,"No","HAMLO","No","2024"
"339","HAM-076","HAM","76",3,NA,NA,43.28368,-79.87139,NA,NA,2024-06-13 16:50:00,2025-07-10 14:46:00,12.9,NA,NA,"VR2AR",69,549107,"Generation-2",NA,NA,NA,"No","HAMLO","No","2024"
"340","HAM-074","HAM","74",3,NA,NA,43.28268,-79.87783,NA,NA,2024-06-13 17:12:00,2025-07-10 15:17:00,9.4,NA,NA,"VR2AR",69,548241,"Generation-2",NA,NA,NA,"No","HAMLO","No","2024"
"341","HAM-073","HAM","73",3,NA,NA,43.28003,-79.88284,NA,NA,2024-06-13 17:28:00,2025-07-10 15:30:00,3.8,NA,NA,"VR2AR",69,548262,"Generation-2",NA,NA,NA,"No","HAMLO","No","2024"
"342","HAM-072","HAM","72",3,NA,NA,43.27815,-79.88745,NA,NA,2024-06-13 17:48:00,2025-07-03 15:51:00,4.3,NA,NA,"VR2AR",69,548276,"Generation-2",NA,NA,NA,"No","HAMLO","No","2024"
"343","WLN-049","WLN","49",2,NA,NA,43.70014,-79.18003,NA,NA,2024-06-17 15:15:00,2025-06-16 16:35:00,26.8,NA,NA,"VR2WAR",69,548618,"Generation-2",NA,"DFO",NA,"No","WLONA","No","2024"
"344","WLN-031","WLN","31",6,NA,NA,43.70823,-79.1947,NA,NA,2024-06-17 15:33:00,2025-06-16 17:00:00,17,NA,NA,"VR2WAR",69,552907,"Generation-2",NA,"DFO",NA,"No","WLONA","No","2024"
"345","WLN-048","WLN","48",2,NA,NA,43.71632,-79.20903,NA,NA,2024-06-17 15:48:00,2025-06-16 17:15:00,10.9,NA,NA,"VR2WAR",69,548284,"Generation-2",NA,"DFO",NA,"No","WLONA","No","2024"
"346","WLN-032","WLN","32",6,NA,NA,43.76568,-79.10988,NA,NA,2024-06-17 16:38:00,2025-06-16 18:08:00,19,NA,NA,"VR2WAR",69,546842,"Generation-2",NA,"DFO",NA,"No","WLONA","No","2024"
"347","WLN-033","WLN","33",6,NA,NA,43.78019,-79.02961,NA,NA,2024-06-17 17:01:00,2025-06-16 18:20:00,28.3,NA,NA,"VR2WAR",69,547997,"Generation-2",NA,"DFO",NA,"No","WLONA","No","2024"
"348","WLN-037","WLN","37",6,NA,NA,43.74167,-78.97946,NA,NA,2024-06-17 18:14:00,2025-06-16 20:20:00,70.2,NA,NA,"VR2WAR",69,548244,"Generation-2",NA,"DFO",NA,"No","WLONA","No","2024"
"349","WLN-034","WLN","34",6,NA,NA,43.8202,-78.93321,NA,NA,2024-06-17 18:38:00,2025-06-16 20:38:00,24.8,NA,NA,"VR2WAR",69,548240,"Generation-2",NA,"DFO",NA,"No","WLONA","No","2024"
"350","WLN-050","WLN","50",2,NA,NA,43.83455,-78.79845,NA,NA,2024-06-17 20:03:00,2025-07-29 15:37:00,26.6,NA,NA,"VR2WAR",69,548254,"Generation-2",NA,"DFO",NA,"No","WLONA","No","2024"
"351","WLN-035","WLN","35",6,NA,NA,43.84834,-78.80354,NA,NA,2024-06-17 20:22:00,2025-07-29 15:58:00,20.8,NA,NA,"VR2WAR",69,552896,"Generation-2",NA,"DFO",NA,"No","WLONA","No","2024"
"352","WLN-051","WLN","51",2,NA,NA,43.86043,-78.80888,NA,NA,2024-06-17 20:43:00,2025-07-29 16:15:00,10.1,NA,NA,"VR2WAR",69,548250,"Generation-2",NA,"DFO",NA,"No","WLONA","No","2024"
"353","WLN-038","WLN","38",6,NA,NA,43.77656,-78.83806,NA,NA,2024-06-18 19:25:00,2025-06-16 20:57:00,60,NA,NA,"VR2WAR",69,546834,"Generation-2",NA,"DFO",NA,"No","WLONA","No","2024"
"354","WLN-053","WLN","53",2,NA,NA,43.86946,-78.44372,NA,NA,2024-06-18 22:36:00,2025-06-17 16:40:00,40,NA,NA,"VR2WAR",69,548256,"Generation-2",NA,"DFO",NA,"No","WLONA","No","2024"
"355","WLN-052","WLN","52",2,NA,NA,43.89555,-78.45502,NA,NA,2024-06-19 16:17:00,2025-06-17 15:51:00,9.7,NA,NA,"VR2WAR",69,548616,"Generation-2",NA,"DFO",NA,"No","WLONA","No","2024"
"356","WLN-036","WLN","36",6,NA,NA,43.8789,-78.6188,NA,NA,2024-06-19 17:12:00,2025-07-29 16:50:00,16.3,NA,NA,"VR2WAR",69,552901,"Generation-2",NA,"DFO",NA,"No","WLONA","No","2024"
"357","WLN-039","WLN","39",6,NA,NA,43.78651,-78.67521,NA,NA,2024-06-19 17:35:00,2025-06-16 21:21:00,75.5,NA,NA,"VR2WAR",69,547995,"Generation-2",NA,"DFO",NA,"No","WLONA","No","2024"
"358","HAM-079","HAM","79",3,NA,NA,43.27447,-79.88546,NA,NA,2024-06-26 13:13:00,2025-07-10 15:42:00,4,NA,NA,"VR2AR",69,552976,"Generation-2",NA,NA,NA,"No","HAMLO","No","2024"
"359","HAM-081","HAM","81",2,NA,NA,43.2712,-79.87804,NA,NA,2024-06-26 13:44:00,2025-07-23 14:02:00,3.1,NA,NA,"VR2AR",69,547996,"Generation-2",NA,NA,NA,"No","HAMLO","No","2024"
"360","HAM-082","HAM","82",2,NA,NA,43.27184,-79.87547,NA,NA,2024-06-26 14:10:00,2025-08-27 14:42:00,3.9,NA,NA,"VR2AR",69,552979,"Generation-2",NA,NA,NA,"No","HAMLO","No","2024"
"361","HAM-078","HAM","78",3,NA,NA,43.27774,-79.87807,NA,NA,2024-06-26 14:47:00,2025-07-23 19:05:00,9.7,NA,NA,"VR2AR",69,548274,"Generation-2",NA,NA,NA,"No","HAMLO","No","2024"
"362","WLN-045","WLN","45",2,NA,NA,43.40217,-79.64235,NA,NA,2024-06-26 15:56:00,NA,50.3,NA,NA,"VR2WAR",69,549109,NA,"code map not available (receiver currently deployed)","DFO",NA,"No","WLONA","No","2024"
"363","WLN-044","WLN","44",2,NA,NA,43.40981,-79.65786,NA,NA,2024-06-26 16:17:00,NA,34,NA,NA,"VR2WAR",69,548257,NA,"code map not available (receiver currently deployed)","DFO",NA,"No","WLONA","No","2024"
"364","WLN-010","WLN","10",10,NA,NA,43.4168,-79.6725,NA,NA,2024-06-26 16:37:00,2025-07-23 17:41:00,16.1,NA,NA,"VR2WAR",69,552890,"Generation-2",NA,"DFO",NA,"No","WLONA","No","2024"
"365","WLN-006","WLN","6",10,NA,NA,43.49064,-79.59042,NA,NA,2024-06-26 17:12:00,NA,17.2,NA,NA,"VR2WAR",69,548269,NA,"code map not available (receiver currently deployed)","DFO",NA,"No","WLONA","No","2024"
"366","WLN-001","WLN","1",10,NA,NA,43.3306,-79.75633,NA,NA,2024-06-26 18:11:00,2025-07-23 18:04:00,17.4,NA,NA,"VR2WAR",69,546851,"Generation-2",NA,"DFO",NA,"No","WLONA","No","2024"
"367","WLN-005","WLN","5",9,NA,NA,43.29595,-79.74334,NA,NA,2024-06-26 18:33:00,2025-06-24 18:35:00,17.5,NA,NA,"VR2WAR",69,545560,"Generation-2",NA,"DFO",NA,"No","WLONA","No","2024"
"368","HAM-022","HAM","22",13,NA,NA,43.30235,-79.79037,NA,NA,2024-06-26 18:53:00,2025-07-30 19:01:00,6,NA,NA,"VR2AR",69,548275,"Generation-2",NA,NA,NA,"No","HAMLO","No","2024"
"369","WLN-030","WLN","30",6,NA,NA,43.65163,-79.2506,NA,NA,2024-06-27 14:17:00,2025-07-29 18:12:00,19.1,NA,NA,"VR2WAR",69,548631,"Generation-2",NA,"DFO",NA,"No","WLONA","No","2024"
"370","WLN-054","WLN","54",2,NA,NA,43.63216,-79.3182,NA,NA,2024-06-27 15:11:00,2025-07-29 18:47:00,11,NA,NA,"VR2WAR",69,549103,"Generation-2",NA,"DFO",NA,"No","WLONA","No","2024"
"371","WLN-002","WLN","2",10,NA,NA,43.6192,-79.45171,NA,NA,2024-06-27 17:13:00,2025-07-30 16:20:00,17.2,NA,NA,"VR2WAR",69,548259,"Generation-2",NA,"DFO",NA,"No","WLONA","No","2024"
"372","WLN-046","WLN","46",2,NA,NA,43.57477,-79.53271,NA,NA,2024-06-27 17:39:00,2025-07-30 17:28:00,5.9,NA,NA,"VR2WAR",69,549098,"Generation-2",NA,"DFO",NA,"No","WLONA","No","2024"
"373","WLN-004","WLN","4",10,NA,NA,43.56569,-79.51855,NA,NA,2024-06-27 17:54:00,2025-07-30 17:08:00,17.9,NA,NA,"VR2WAR",69,552917,"Generation-2",NA,"DFO",NA,"No","WLONA","No","2024"
"374","WLN-047","WLN","47",2,NA,NA,43.55763,-79.50498,NA,NA,2024-06-27 18:08:00,2025-07-30 16:50:00,29.2,NA,NA,"VR2WAR",69,547992,"Generation-2",NA,"DFO",NA,"No","WLONA","No","2024"
"375","HAM-075","HAM","75",3,NA,NA,43.28577,-79.8707,NA,NA,2024-06-27 19:36:00,2025-07-10 15:05:00,4.2,NA,NA,"VR2AR",69,548243,"Generation-2",NA,NA,NA,"No","HAMLO","No","2024"
"376","HAM-084","HAM","84",2,NA,NA,43.27551,-79.87173,NA,NA,2024-06-27 19:38:00,2025-07-23 14:29:00,9.4,NA,NA,"VR2AR",69,548253,"Generation-2","error 1 initialization occurred between deploy and recover",NA,NA,"No","HAMLO","No","2024"
"377","HAM-083","HAM","83",2,NA,NA,43.27432,-79.87759,NA,NA,2024-06-27 20:08:00,2025-07-23 14:19:00,8.1,NA,NA,"VR2AR",69,552971,"Generation-2",NA,NA,NA,"No","HAMLO","No","2024"
"378","HAM-080","HAM","80",1,NA,NA,43.27191,-79.88202,NA,NA,2024-06-27 20:15:00,2025-07-23 19:49:00,4.6,NA,NA,"VR2AR",69,552974,"Generation-2",NA,NA,NA,"No","HAMLO","No","2024"
"379","HAM-071","HAM","71",2,NA,NA,43.28126,-79.88805,NA,NA,2024-07-04 15:22:00,NA,1.5,NA,NA,"VR2AR",69,547993,NA,"code map not available (receiver currently deployed)",NA,NA,"No","HAMLO","No","2024"
"380","HAM-011","HAM","11",10,NA,NA,43.2773,-79.8669,NA,NA,2024-07-31 13:58:00,2025-08-01 12:50:00,NA,NA,NA,"VR2W",69,119711,"Generation-2",NA,NA,NA,"No","HAMLO","No","2024"
"381","HAM-053","HAM","53",10,NA,NA,43.2759,-79.86333,NA,NA,2024-07-31 14:48:00,2025-08-01 14:00:00,NA,NA,NA,"VR2W",69,133111,"Generation-2",NA,NA,NA,"No","HAMLO","No","2024"
"382","HAM-057","HAM","57",8,NA,NA,43.275,-79.8607,NA,NA,2024-07-31 15:17:00,2025-08-01 13:40:00,NA,NA,NA,"VR2W",69,121990,"Generation-2",NA,NA,NA,"No","HAMLO","No","2024"
"383","HAM-052","HAM","52",11,NA,NA,43.27438,-79.86617,NA,NA,2024-07-31 16:10:00,2025-08-01 14:30:00,NA,NA,NA,"VR2W",69,127837,"Generation-2","error 1 initialization occurred between deploy and recover",NA,NA,"No","HAMLO","No","2024"
"384","HAM-051","HAM","51",9,NA,NA,43.26976,-79.87317,NA,NA,2024-07-31 17:22:00,2025-04-25 14:30:00,NA,NA,NA,"VR2W",69,121991,"Generation-2","error 1 initialization occurred between deploy and recover",NA,NA,"No","HAMLO","No","2024"
"385","HAM-091","HAM","91",2,NA,NA,43.27248,-79.92561,NA,NA,2024-08-07 15:10:00,2024-08-28 12:00:00,0.54,NA,NA,"VR2W",69,119681,"Generation-2",NA,NA,NA,"Yes","HAMLO","No","2024"
"386","HAM-092","HAM","92",2,NA,NA,43.27319,-79.92641,NA,NA,2024-08-07 15:20:00,2024-08-28 12:00:00,1,NA,NA,"VR2W",69,127840,"Generation-2",NA,NA,NA,"Yes","HAMLO","No","2024"
"387","HAM-097","HAM","97",1,NA,NA,43.26556,-79.93984,NA,NA,2024-08-07 19:00:00,2024-11-15 18:00:00,1.5,NA,NA,"VR2W",69,119690,"Generation-2",NA,NA,NA,"Yes","HAMLO","No","2024"
"388","HAM-034","HAM","34",13,NA,NA,43.27142,-79.80812,NA,NA,2024-08-08 15:40:00,2025-08-06 15:50:00,NA,NA,NA,"VR2W",69,121993,"Generation-2",NA,NA,NA,"No","HAMLO","No","2024"
"389","HAM-013","HAM","13",12,NA,NA,43.29691,-79.80157,NA,NA,2024-08-08 17:00:00,NA,NA,NA,NA,"VR2W",69,131525,NA,"code map not available (receiver currently deployed)",NA,NA,"No","HAMLO","No","2024"
"390","HAM-058","HAM","58",8,NA,NA,43.31292,-79.8061,NA,NA,2024-08-08 19:19:00,2025-08-01 16:20:00,NA,NA,NA,"VR2W",69,124717,"Generation-2",NA,NA,NA,"No","HAMLO","No","2024"
"391","HAM-029","HAM","29",13,NA,NA,43.28936,-79.88731,NA,NA,2024-08-22 13:45:00,2025-04-11 19:05:00,1,NA,NA,"VR2W-Tx",69,481683,"Generation-2",NA,NA,NA,"No","HAMLO","No","2024"
"392","HAM-068","HAM","68",4,NA,NA,43.28972,-79.88528,NA,NA,2024-08-22 14:15:00,2024-11-27 19:56:00,0.6,NA,NA,"VR2W",69,119662,"Generation-2",NA,NA,NA,"Yes","HAMLO","No","2024"
"393","HAM-033","HAM","33",11,NA,NA,43.29215,-79.88395,NA,NA,2024-08-22 15:30:00,2025-08-28 15:15:00,0.7,NA,NA,"VR2W-Tx",69,487630,"Generation-2",NA,NA,NA,"No","HAMLO","No","2024"
"394","HAM-061","HAM","61",6,NA,NA,43.29,-79.88234,NA,NA,2024-08-22 16:15:00,2024-09-05 02:59:00,0.55,NA,NA,"VR2W",69,127847,"Generation-2",NA,NA,NA,"Yes","HAMLO","No","2024"
"395","HAM-086","HAM","86",1,NA,NA,43.30104,-79.86882,NA,NA,2024-08-22 18:12:00,2024-11-15 17:00:00,2,NA,NA,"VR2W-Tx",69,121987,"Generation-2",NA,NA,NA,"Yes","HAMLO","No","2024"
"396","HAM-063","HAM","63",7,NA,NA,43.2822,-79.88451,NA,NA,2024-08-23 14:28:00,2025-08-01 15:50:00,1.5,NA,NA,"VR2W",69,127827,"Generation-2","error 1 initialization occurred between deploy and recover",NA,NA,"No","HAMLO","No","2024"
"397","HAM-070","HAM","70",2,NA,NA,43.28605,-79.88826,NA,NA,2024-08-23 15:09:00,2024-11-27 20:20:00,NA,NA,NA,"VR2W-Tx",69,481800,"Generation-2",NA,NA,NA,"Yes","HAMLO","No","2024"
"398","HAM-041","HAM","41",11,NA,NA,43.2767,-79.83893,NA,NA,2024-08-23 15:35:00,2025-08-06 17:00:00,NA,NA,NA,"VR2W",69,133001,"Generation-2","error 1 initialization occurred between deploy and recover",NA,NA,"No","HAMLO","No","2024"
"399","HAM-047","HAM","47",9,NA,NA,43.30267,-79.83991,NA,NA,2024-08-23 16:14:00,2025-04-01 14:30:00,NA,NA,NA,"VR2W",69,121988,"Generation-2","error 1 initialization occurred between deploy and recover",NA,NA,"No","HAMLO","No","2024"
"400","HAM-046","HAM","46",10,NA,NA,43.30771,-79.82588,NA,NA,2024-08-23 16:34:00,2025-06-21 04:00:00,NA,NA,NA,"VR2W",69,132997,"Generation-2","error 1 initialization occurred between deploy and recover",NA,NA,"No","HAMLO","No","2024"
"401","HAM-067","HAM","67",7,NA,NA,43.29417,-79.87926,NA,NA,2024-08-26 16:45:00,2024-11-27 19:44:00,0.7,NA,NA,"VR2W",69,132999,"Generation-2",NA,NA,NA,"Yes","HAMLO","No","2024"
"402","HAM-087","HAM","87",2,NA,NA,43.29413,-79.88175,NA,NA,2024-08-26 17:15:00,2024-11-19 17:00:00,0.5,NA,NA,"VR2W-Tx",69,487623,"Generation-2",NA,NA,NA,"Yes","HAMLO","No","2024"
"403","HAM-059","HAM","59",6,NA,NA,43.29498,-79.87552,NA,NA,2024-08-26 17:40:00,2024-11-27 19:26:00,0.6,NA,NA,"VR2W",69,127843,"Generation-2",NA,NA,NA,"Yes","HAMLO","No","2024"
"404","HAM-043","HAM","43",9,NA,NA,43.27957,-79.8915,NA,NA,2024-08-27 14:54:00,2025-08-01 16:00:00,NA,NA,NA,"VR2W",69,121999,"Generation-2",NA,NA,NA,"No","HAMLO","No","2024"
"405","HAM-035","HAM","35",9,NA,NA,43.26228,-79.77238,NA,NA,2024-09-03 18:35:00,2025-08-28 14:00:00,2,NA,NA,"VR2W",69,137956,"Generation-2",NA,NA,NA,"No","HAMLO","No","2024"
"406","HAM-036","HAM","36",13,NA,NA,43.27139,-79.8695,NA,NA,2024-09-03 19:08:00,2025-08-01 15:30:00,NA,NA,NA,"VR2W",69,131493,"Generation-2","error 1 initialization occurred between deploy and recover",NA,NA,"No","HAMLO","No","2024"
"407","HAM-032","HAM","32",12,NA,NA,43.27973,-79.89346,NA,NA,2024-10-31 12:55:00,2025-10-02 17:00:00,1.85,NA,NA,"VR2W",69,131523,"Generation-2","error 1 initialization occurred between deploy and recover",NA,NA,"No","HAMLO","No","2024"
"408","HAM-042","HAM","42",9,NA,NA,43.26864,-79.93536,NA,NA,2024-10-31 13:50:00,2025-09-26 17:05:00,1.1,NA,NA,"VR2W",69,127850,"Generation-2",NA,NA,NA,"No","HAMLO","No","2024"
"409","HAM-030","HAM","30",11,NA,NA,43.27192,-79.92519,NA,NA,2024-10-31 14:35:00,2025-10-02 14:30:00,NA,NA,NA,"VR2W",69,127828,"MAP-115",NA,NA,NA,"No","HAMLO","No","2024"
"410","WLN-058","WLN","58",2,NA,NA,43.54839,-79.58354,NA,NA,2024-10-31 17:10:00,NA,1.05,NA,NA,"VR2W",69,119706,NA,"code map not available (receiver currently deployed)","DFO",NA,"No","WLONA","No","2024"
"411","HAM-028","HAM","28",12,NA,NA,43.27508,-79.88077,NA,NA,2024-12-09 05:07:00,2025-11-25 14:00:00,8,NA,NA,"VR2W",69,126878,"Generation-2",NA,NA,NA,"No","HAMLO","No","2024"
"412","HAM-027","HAM","27",12,NA,NA,43.27861,-79.87556,NA,NA,2024-12-09 16:43:00,2025-11-25 14:00:00,11.4,NA,NA,"VR2W",69,124715,"Generation-2",NA,NA,NA,"No","HAMLO","No","2024"
"413","HAM-004","HAM","4",11,NA,NA,43.28667,-79.84556,NA,NA,2024-12-09 17:45:00,2025-11-25 14:00:00,23,NA,NA,"VR2W",69,131524,"Generation-2",NA,NA,NA,"No","HAMLO","No","2024"
"414","HAM-002","HAM","2",12,NA,NA,43.28528,-79.79556,NA,NA,2024-12-10 15:10:00,2025-11-24 14:00:00,22,NA,NA,"VR2W",69,127833,"Generation-2",NA,NA,NA,"No","HAMLO","No","2024"
"415","WLN-055","WLN","55",2,NA,NA,43.1821,-79.37544,NA,NA,2024-12-10 18:55:00,2025-05-12 20:24:00,1,NA,NA,"VR2W",69,132818,"Generation-2",NA,"DFO",NA,"No","WLONA","No","2024"
"416","HAM-086","HAM","86",2,NA,NA,43.30115,-79.86895,NA,NA,2025-04-11 14:12:00,2025-08-28 15:45:00,1.25,0.8,0.3,"VR2W-Tx",69,481797,"Generation-2",NA,NA,NA,"Yes","HAMLO","No","2025"
"417","HAM-067","HAM","67",8,NA,NA,43.29422,-79.87928,NA,NA,2025-04-11 14:55:00,2025-09-08 14:12:00,1.2,0.5,0.5,"VR2W",69,132820,"Generation-2",NA,NA,NA,"Yes","HAMLO","No","2025"
