"","station","glatos_array","station_no","consecutive_deploy_no","intend_lat","intend_long","deploy_lat","deploy_long","recover_lat","recover_long","deploy_date_time","recover_date_time","bottom_depth","riser_length","instrument_depth","ins_model_no","glatos_ins_frequency","ins_serial_no","code_map","code_map_comment","deployed_by","comments","glatos_seasonal","glatos_project","glatos_vps","year"
"418","HAM-059","HAM","59",7,NA,NA,43.29493,-79.87553,NA,NA,2025-04-11 15:25:00,2025-08-28 17:13:00,1,0.75,0.15,"VR2W",69,119681,"Generation-2",NA,NA,NA,"Yes","HAMLO","No","2025"
"419","HAM-087","HAM","87",3,NA,NA,43.29432,-79.88198,NA,NA,2025-04-11 16:00:00,2025-09-03 15:30:00,1,0.75,0.15,"VR2W-Tx",69,481800,"Generation-2",NA,NA,NA,"Yes","HAMLO","No","2025"
"420","HAM-066","HAM","66",6,NA,NA,43.29282,-79.88116,NA,NA,2025-04-11 16:10:00,2025-08-28 14:55:00,0.4,NA,NA,"VR2W",69,127832,"Generation-2",NA,NA,NA,"Yes","HAMLO","No","2025"
"421","HAM-068","HAM","68",5,NA,NA,43.28975,-79.8852,NA,NA,2025-04-11 17:00:00,2025-09-26 13:35:00,0.8,0.3,0.3,"VR2W",69,105463,"Generation-2",NA,NA,NA,"Yes","HAMLO","No","2025"
"422","HAM-061","HAM","61",7,NA,NA,43.28919,-79.88244,NA,NA,2025-04-11 17:21:00,2025-08-28 16:14:00,0.6,0.3,0.1,"VR2W",69,121998,"Generation-2",NA,NA,NA,"Yes","HAMLO","No","2025"
"423","HAM-062","HAM","62",6,NA,NA,43.29044,-79.88634,NA,NA,2025-04-11 18:09:00,2025-09-26 13:35:00,1,0.5,0.3,"VR2W",69,133002,"Generation-2",NA,NA,NA,"Yes","HAMLO","No","2025"
"424","HAM-070","HAM","70",3,NA,NA,43.28721,-79.88798,NA,NA,2025-04-11 18:45:00,2025-09-26 14:46:00,0.75,NA,NA,"VR2W-Tx",69,487623,"Generation-2",NA,NA,NA,"Yes","HAMLO","No","2025"
"425","HAM-029","HAM","29",14,NA,NA,43.28936,-79.88731,NA,NA,2025-04-11 19:06:00,2025-09-26 13:53:00,1.2,NA,NA,"VR2W-Tx",69,481801,"Generation-2",NA,NA,NA,"No","HAMLO","No","2025"
"426","HAM-098","HAM","98",2,NA,NA,43.2752,-79.89442,NA,NA,2025-04-17 15:10:00,2025-09-23 16:43:00,1,NA,NA,"VR2W-Tx",69,487637,"Generation-2",NA,NA,NA,"Yes","HAMLO","No","2025"
"427","HAM-097","HAM","97",2,NA,NA,43.26556,-79.93984,NA,NA,2025-04-17 15:45:00,2025-09-26 15:25:00,1.5,NA,NA,"VR2W",69,137955,"Generation-2",NA,NA,NA,"Yes","HAMLO","No","2025"
"428","HAM-089","HAM","89",2,NA,NA,43.26792,-79.92775,NA,NA,2025-04-17 16:20:00,2025-09-26 16:35:00,1.5,NA,0.3,"VR2W",69,137957,"Generation-2",NA,NA,NA,"Yes","HAMLO","No","2025"
"429","HAM-091","HAM","91",3,NA,NA,43.27258,-79.9254,NA,NA,2025-04-17 16:45:00,2025-09-26 16:20:00,0.6,0.2,0.3,"VR2W",69,127840,"Generation-2",NA,NA,NA,"Yes","HAMLO","No","2025"
"430","HAM-092","HAM","92",3,NA,NA,43.27323,-79.92638,NA,NA,2025-04-17 17:00:00,2025-09-26 16:15:00,0.6,0.2,0.3,"VR2W",69,127843,"Generation-2",NA,NA,NA,"Yes","HAMLO","No","2025"
"431","WLN-057","WLN","57",2,NA,NA,43.55139,-79.59178,NA,NA,2025-04-17 18:30:00,2025-09-26 18:15:00,1.3,1.5,NA,"VR2W-TX",69,487640,"MAP-115",NA,"DFO","Access with truck","Yes","WLONA","No","2025"
"432","WLN-058","WLN","58",3,NA,NA,43.54839,-79.58354,NA,NA,2025-04-17 19:15:00,NA,0.6,1.5,NA,"VR2W-TX",69,481721,NA,"code map not available (receiver currently deployed)","DFO","Access with truck -battery not replaced in October when downloaded","Yes","WLONA","No","2025"
"433","HAM-093","HAM","93",2,NA,NA,43.27714,-79.91316,NA,NA,2025-04-25 13:45:00,2025-10-02 15:30:00,1,0.8,10,"VR2W-Tx",69,481802,"Generation-2",NA,NA,NA,"Yes","HAMLO","No","2025"
"434","HAM-088","HAM","88",2,NA,NA,43.27515,-79.9207,NA,NA,2025-04-25 14:05:00,2025-10-02 15:15:00,1,0.5,0.3,"VR2W",69,119690,"Generation-2",NA,NA,NA,"Yes","HAMLO","No","2025"
"435","HAM-090","HAM","90",2,NA,NA,43.2742,-79.91723,NA,NA,2025-04-25 14:25:00,2025-10-02 16:00:00,0.9,0.3,0.45,"VR2W",69,126879,"Generation-2",NA,NA,NA,"Yes","HAMLO","No","2025"
"436","HAM-044","HAM","44",8,NA,NA,43.27636,-79.90489,NA,NA,2025-04-25 14:45:00,2025-09-02 18:49:00,0.75,NA,0.3,"VR2W-Tx",69,481799,"Generation-2",NA,NA,NA,"Yes","HAMLO","No","2025"
"437","HAM-094","HAM","94",2,NA,NA,43.2719,-79.91228,NA,NA,2025-04-25 15:05:00,2025-09-02 18:15:00,1,0.5,0.2,"VR2W",69,119662,"Generation-2",NA,NA,NA,"Yes","HAMLO","No","2025"
"438","HAM-095","HAM","95",2,NA,NA,43.2722,-79.90237,NA,NA,2025-04-25 15:25:00,2025-09-23 16:29:00,1,0.5,0.2,"VR2W",69,127847,"Generation-2",NA,NA,NA,"Yes","HAMLO","No","2025"
"439","HAM-096","HAM","96",2,NA,NA,43.2837,-79.89738,NA,NA,2025-04-25 15:40:00,2025-09-23 17:05:00,1,0.6,0.2,"VR2W",69,127836,"Generation-2",NA,NA,NA,"Yes","HAMLO","No","2025"
"440","HAM-099","HAM","99",2,NA,NA,43.28173,-79.88989,NA,NA,2025-04-28 22:05:00,2025-11-19 16:58:00,1,0.2,0.6,"VR2W-Tx",69,487629,"Generation-2",NA,NA,NA,"Yes","HAMLO","No","2025"
"441","WLN-055","WLN","55",3,NA,NA,43.18206,-79.37526,NA,NA,2025-05-12 20:30:00,2025-10-29 21:00:00,1.3,1.5,NA,"VR2W",69,487641,"Generation-2",NA,"DFO","Jon boat","Yes","WLONA","No","2025"
"442","WLN-009","WLN","9",9,NA,NA,43.22352,-79.45905,NA,NA,2025-06-09 16:43:00,2025-09-23 16:40:00,20.2,1.5,NA,"VR2WAR",69,548247,"Generation-2",NA,"DFO","Coordinates the same, new receiver deployed near old one","No","WLONA","No","2025"
"443","WLN-049","WLN","49",3,NA,NA,43.70014,-79.18003,NA,NA,2025-06-16 16:47:00,NA,27,1.5,NA,"VR2WAR",69,546852,NA,"code map not available (receiver currently deployed)","DFO",NA,"No","WLONA","No","2025"
"444","WLN-031","WLN","31",7,NA,NA,43.70823,-79.1947,NA,NA,2025-06-16 17:02:00,NA,16.9,1.5,NA,"VR2WAR",69,548255,NA,"code map not available (receiver currently deployed)","DFO",NA,"No","WLONA","No","2025"
"445","WLN-048","WLN","48",3,NA,NA,43.71632,-79.20903,NA,NA,2025-06-16 17:28:00,NA,11.1,1.5,NA,"VR2WAR",69,548618,NA,"code map not available (receiver currently deployed)","DFO",NA,"No","WLONA","No","2025"
"446","WLN-032","WLN","32",7,NA,NA,43.76568,-79.10988,NA,NA,2025-06-16 18:08:00,NA,19.2,1.5,NA,"VR2WAR",69,548284,NA,"code map not available (receiver currently deployed)","DFO",NA,"No","WLONA","No","2025"
"447","WLN-033","WLN","33",7,NA,NA,43.78019,-79.02961,NA,NA,2025-06-16 18:28:00,NA,28.4,1.5,NA,"VR2WAR",69,552894,NA,"code map not available (receiver currently deployed)","DFO",NA,"No","WLONA","No","2025"
"448","WLN-037","WLN","37",7,NA,NA,43.74167,-78.97946,NA,NA,2025-06-16 20:22:00,NA,70.2,1.5,NA,"VR2WAR",69,549093,NA,"code map not available (receiver currently deployed)","DFO",NA,"No","WLONA","No","2025"
"449","WLN-034","WLN","34",7,NA,NA,43.8202,-78.93321,NA,NA,2025-06-16 20:40:00,NA,24.7,1.5,NA,"VR2WAR",69,546842,NA,"code map not available (receiver currently deployed)","DFO",NA,"No","WLONA","No","2025"
"450","WLN-038","WLN","38",7,NA,NA,43.77656,-78.83806,NA,NA,2025-06-16 21:00:00,NA,63.5,1.5,NA,"VR2WAR",69,545555,NA,"code map not available (receiver currently deployed)","DFO",NA,"No","WLONA","No","2025"
"451","WLN-039","WLN","39",7,NA,NA,43.78651,-78.67521,NA,NA,2025-06-16 21:23:00,NA,75.3,1.5,NA,"VR2WAR",69,548244,NA,"code map not available (receiver currently deployed)","DFO",NA,"No","WLONA","No","2025"
"452","WLN-052","WLN","52",3,NA,NA,43.89555,-78.45502,NA,NA,2025-06-17 15:54:00,NA,9.2,1.5,NA,"VR2WAR",69,552893,NA,"code map not available (receiver currently deployed)","DFO",NA,"No","WLONA","No","2025"
"453","WLN-053","WLN","53",3,NA,NA,43.86946,-78.44372,NA,NA,2025-06-17 16:47:00,NA,40.5,1.5,NA,"VR2WAR",69,545556,NA,"code map not available (receiver currently deployed)","DFO",NA,"No","WLONA","No","2025"
"454","WLN-008","WLN","8",11,NA,NA,43.20885,-79.31941,NA,NA,2025-06-24 14:40:00,NA,18.1,1.5,NA,"VR2WAR",69,546833,NA,"code map not available (receiver currently deployed)","DFO",NA,"No","WLONA","No","2025"
"455","WLN-003","WLN","3",11,NA,NA,43.2512,-79.23352,NA,NA,2025-06-24 14:58:00,NA,16.2,1.5,NA,"VR2WAR",69,552897,NA,"code map not available (receiver currently deployed)","DFO",NA,"No","WLONA","No","2025"
"456","WLN-042","WLN","42",3,NA,NA,43.19625,-79.31195,NA,NA,2025-06-24 15:25:00,NA,10,1.5,NA,"VR2WAR",69,552911,NA,"code map not available (receiver currently deployed)","DFO",NA,"No","WLONA","No","2025"
"457","WLN-043","WLN","43",3,NA,NA,43.22091,-79.32706,NA,NA,2025-06-24 15:55:00,NA,24.8,1.5,NA,"VR2WAR",69,549105,NA,"code map not available (receiver currently deployed)","DFO",NA,"No","WLONA","No","2025"
"458","WLN-040","WLN","40",2,NA,NA,43.23339,-79.61483,NA,NA,2025-06-24 17:49:00,NA,9.7,1.5,NA,"VR2WAR",69,548264,NA,"code map not available (receiver currently deployed)","DFO",NA,"No","WLONA","No","2025"
"459","WLN-041","WLN","41",3,NA,NA,43.24592,-79.6076,NA,NA,2025-06-24 17:58:00,NA,15.1,1.5,NA,"VR2WAR",69,548251,NA,"code map not available (receiver currently deployed)","DFO",NA,"No","WLONA","No","2025"
"460","WLN-007","WLN","7",10,NA,NA,43.25787,-79.60037,NA,NA,2025-06-24 18:20:00,NA,20.8,1.5,NA,"VR2WAR",69,548242,NA,"code map not available (receiver currently deployed)","DFO",NA,"No","WLONA","No","2025"
"461","WLN-005","WLN","5",10,NA,NA,43.29595,-79.74334,NA,NA,2025-06-24 18:40:00,NA,18,1.5,NA,"VR2WAR",69,552910,NA,"code map not available (receiver currently deployed)","DFO",NA,"No","WLONA","No","2025"
"462","HAM-003","HAM","3",13,NA,NA,43.29524,-79.79745,NA,NA,2025-07-03 14:30:00,2025-11-25 16:49:00,15.6,1.5,NA,"VR2AR",69,545558,"Generation-2",NA,NA,NA,"No","HAMLO","No","2025"
"463","HAM-045","HAM","45",7,NA,NA,43.3046,-79.80238,NA,NA,2025-07-03 14:45:00,2025-11-25 16:30:00,NA,NA,NA,"VR2W",69,132999,"Generation-2",NA,NA,NA,"No","HAMLO","No","2025"
"464","HAM-047","HAM","47",10,NA,NA,43.30267,-79.83991,NA,NA,2025-07-03 15:22:00,2025-11-19 18:17:00,NA,NA,NA,"VR2W",69,121991,"Generation-2",NA,NA,NA,"No","HAMLO","No","2025"
"465","HAM-072","HAM","72",4,NA,NA,43.27815,-79.88745,NA,NA,2025-07-03 16:00:00,2025-10-21 14:44:00,4.3,1.5,NA,"VR2AR",69,549102,"Generation-2",NA,NA,NA,"No","HAMLO","No","2025"
"466","HAM-051","HAM","51",10,NA,NA,43.26976,-79.87317,NA,NA,2025-07-03 16:30:00,2025-11-19 18:39:00,NA,NA,NA,"VR2W",69,132818,"Generation-2",NA,NA,NA,"No","HAMLO","No","2025"
"467","HAM-025","HAM","25",13,NA,NA,43.30969,-79.81158,NA,NA,2025-07-10 13:40:00,NA,4.9,1.5,NA,"VR2AR",69,552899,NA,"code map not available (receiver currently deployed)",NA,NA,"No","HAMLO","No","2025"
"468","HAM-017","HAM","17",13,NA,NA,43.29468,-79.8297,NA,NA,2025-07-10 13:51:00,2025-10-21 12:56:00,19.4,1.5,NA,"VR2AR",69,545560,"Generation-2",NA,NA,NA,"No","HAMLO","No","2025"
"469","HAM-021","HAM","21",12,NA,NA,43.28578,-79.82647,NA,NA,2025-07-10 14:03:00,NA,18,1.5,NA,"VR2AR",69,548276,NA,"code map not available (receiver currently deployed)",NA,NA,"No","HAMLO","No","2025"
"470","HAM-015","HAM","15",13,NA,NA,43.29365,-79.85536,NA,NA,2025-07-10 14:21:00,2025-10-21 13:04:00,6.4,1.5,NA,"VR2AR",69,552978,"Generation-2",NA,NA,NA,"No","HAMLO","No","2025"
"471","HAM-005","HAM","5",12,NA,NA,43.28102,-79.86579,NA,NA,2025-07-10 14:33:00,2025-10-21 14:33:00,13.6,1.5,NA,"VR2AR",69,549115,"Generation-2",NA,NA,NA,"No","HAMLO","No","2025"
"472","HAM-077","HAM","77",4,NA,NA,43.28064,-79.8693,NA,NA,2025-07-10 14:41:00,2025-10-21 13:55:00,12.8,1.5,NA,"VR2AR",69,552973,"Generation-2",NA,NA,NA,"No","HAMLO","No","2025"
"473","HAM-076","HAM","76",4,NA,NA,43.28368,-79.87139,NA,NA,2025-07-10 14:49:00,2025-10-21 13:46:00,12.7,1.5,NA,"VR2AR",69,548706,"Generation-2",NA,NA,NA,"No","HAMLO","No","2025"
"474","HAM-023","HAM","23",14,NA,NA,43.28569,-79.86764,NA,NA,2025-07-10 14:56:00,2025-10-21 13:35:00,5.4,1.5,NA,"VR2AR",69,548282,"Generation-2",NA,NA,NA,"No","HAMLO","No","2025"
"475","HAM-075","HAM","75",4,NA,NA,43.28577,-79.8707,NA,NA,2025-07-10 15:08:00,2025-10-21 13:42:00,4.3,1.5,NA,"VR2AR",69,552977,"Generation-2",NA,NA,NA,"No","HAMLO","No","2025"
"476","HAM-074","HAM","74",4,NA,NA,43.28268,-79.87783,NA,NA,2025-07-10 15:20:00,2025-10-21 14:28:00,9.4,1.5,NA,"VR2AR",69,549107,"Generation-2",NA,NA,NA,"No","HAMLO","No","2025"
"477","HAM-073","HAM","73",4,NA,NA,43.28003,-79.88284,NA,NA,2025-07-10 15:35:00,2025-10-21 14:35:00,5.4,1.5,NA,"VR2AR",69,548265,"Generation-2",NA,NA,NA,"No","HAMLO","No","2025"
"478","HAM-079","HAM","79",4,NA,NA,43.27447,-79.88546,NA,NA,2025-07-10 15:46:00,2025-10-21 14:50:00,4.5,1.5,NA,"VR2AR",69,548243,"Generation-2",NA,NA,NA,"No","HAMLO","No","2025"
"479","HAM-085","HAM","85",3,NA,NA,43.27843,-79.8619,NA,NA,2025-07-10 16:08:00,2025-10-21 13:15:00,10.4,1.5,NA,"VR2AR",69,548262,"Generation-2",NA,NA,NA,"No","HAMLO","No","2025"
"480","HAM-081","HAM","81",3,NA,NA,43.2712,-79.87804,NA,NA,2025-07-23 14:12:00,2025-10-21 14:11:00,3,1.5,NA,"VR2AR",69,548241,"Generation-2",NA,NA,NA,"No","HAMLO","No","2025"
"481","HAM-083","HAM","83",3,NA,NA,43.27432,-79.87759,NA,NA,2025-07-23 14:24:00,2025-10-21 14:17:00,8.2,1.5,NA,"VR2AR",69,552976,"Generation-2",NA,NA,NA,"No","HAMLO","No","2025"
"482","HAM-084","HAM","84",3,NA,NA,43.27551,-79.87173,NA,NA,2025-07-23 14:35:00,2025-10-21 14:02:00,9.4,1.5,NA,"VR2AR",69,549114,"Generation-2",NA,NA,NA,"No","HAMLO","No","2025"
"483","WLN-010","WLN","10",11,NA,NA,43.4168,-79.6725,NA,NA,2025-07-23 17:45:00,NA,16.4,1.5,NA,"VR2WAR",69,547996,NA,"code map not available (receiver currently deployed)","DFO",NA,"No","WLONA","No","2025"
"484","WLN-001","WLN","1",11,NA,NA,43.3306,-79.75633,NA,NA,2025-07-23 18:10:00,NA,17.4,1.5,NA,"VR2WAR",69,548253,NA,"code map not available (receiver currently deployed)","DFO",NA,"No","WLONA","No","2025"
"485","HAM-078","HAM","78",4,NA,NA,43.27774,-79.87807,NA,NA,2025-07-23 19:11:00,2025-10-21 14:22:00,9.9,1.5,NA,"VR2AR",69,552890,"Generation-2",NA,NA,NA,"No","HAMLO","No","2025"
"486","HAM-080","HAM","80",2,NA,NA,43.27191,-79.88202,NA,NA,2025-07-23 19:49:00,2025-10-21 14:55:00,4.5,1.5,NA,"VR2AR",69,552971,"Generation-2",NA,NA,NA,"No","HAMLO","No","2025"
"487","WLN-050","WLN","50",3,NA,NA,43.83455,-78.79845,NA,NA,2025-07-29 15:40:00,NA,26.6,1.5,NA,"VR2WAR",69,552974,NA,"code map not available (receiver currently deployed)","DFO",NA,"No","WLONA","No","2025"
"488","WLN-035","WLN","35",7,NA,NA,43.84834,-78.80354,NA,NA,2025-07-29 16:03:00,NA,20.9,1.5,NA,"VR2WAR",69,548267,NA,"code map not available (receiver currently deployed)","DFO",NA,"No","WLONA","No","2025"
"489","WLN-051","WLN","51",3,NA,NA,43.86043,-78.80888,NA,NA,2025-07-29 16:20:00,NA,10.1,1.5,NA,"VR2WAR",69,548254,NA,"code map not available (receiver currently deployed)","DFO",NA,"No","WLONA","No","2025"
"490","WLN-036","WLN","36",7,NA,NA,43.8789,-78.6188,NA,NA,2025-07-29 16:55:00,NA,16.7,1.5,NA,"VR2WAR",69,552896,NA,"code map not available (receiver currently deployed)","DFO",NA,"No","WLONA","No","2025"
"491","WLN-030","WLN","30",7,NA,NA,43.65163,-79.2506,NA,NA,2025-07-29 18:15:00,NA,20,1.5,NA,"VR2WAR",69,552901,NA,"code map not available (receiver currently deployed)","DFO",NA,"No","WLONA","No","2025"
"492","WLN-054","WLN","54",3,NA,NA,43.63216,-79.3182,NA,NA,2025-07-29 18:50:00,NA,11,1.5,NA,"VR2WAR",69,548250,NA,"code map not available (receiver currently deployed)","DFO",NA,"No","WLONA","No","2025"
"493","WLN-002","WLN","2",11,NA,NA,43.6192,-79.45171,NA,NA,2025-07-30 16:25:00,NA,17.4,1.5,NA,"VR2WAR",69,548283,NA,"code map not available (receiver currently deployed)","DFO","Estimated time","No","WLONA","No","2025"
"494","WLN-047","WLN","47",3,NA,NA,43.55763,-79.50498,NA,NA,2025-07-30 16:52:00,NA,29.9,1.5,NA,"VR2WAR",69,549118,NA,"code map not available (receiver currently deployed)","DFO",NA,"No","WLONA","No","2025"
"495","WLN-004","WLN","4",11,NA,NA,43.56569,-79.51855,NA,NA,2025-07-30 17:12:00,NA,18.2,1.5,NA,"VR2WAR",69,547990,NA,"code map not available (receiver currently deployed)","DFO",NA,"No","WLONA","No","2025"
"496","WLN-046","WLN","46",3,NA,NA,43.57477,-79.53271,NA,NA,2025-07-30 17:30:00,NA,5.9,1.5,NA,"VR2WAR",69,548259,NA,"code map not available (receiver currently deployed)","DFO",NA,"No","WLONA","No","2025"
"497","HAM-022","HAM","22",14,NA,NA,43.30235,-79.79037,NA,NA,2025-07-30 19:03:00,NA,6.6,1.5,NA,"VR2AR",69,552917,NA,"code map not available (receiver currently deployed)",NA,NA,"No","HAMLO","No","2025"
"498","HAM-011","HAM","11",11,NA,NA,43.2773,-79.8669,NA,NA,2025-08-01 13:14:00,2025-11-19 17:18:00,12,3.2,NA,"VR2W",69,119711,"Generation-2","error 1 initialization occurred between deploy and recover",NA,NA,"No","HAMLO","No","2025"
"499","HAM-057","HAM","57",9,NA,NA,43.275,-79.8607,NA,NA,2025-08-01 13:40:00,2025-11-19 17:27:00,2,1,1,"VR2W",69,121990,"Generation-2",NA,NA,NA,"No","HAMLO","No","2025"
"500","HAM-053","HAM","53",11,NA,NA,43.2759,-79.86333,NA,NA,2025-08-01 14:25:00,2025-11-19 17:35:00,7.2,NA,5.7,"VR2W",69,133111,"Generation-2",NA,NA,NA,"No","HAMLO","No","2025"
"501","HAM-052","HAM","52",12,NA,NA,43.27438,-79.86617,NA,NA,2025-08-01 14:40:00,2025-11-19 17:43:00,2.8,NA,0.3,"VR2W",69,127837,"Generation-2",NA,NA,NA,"No","HAMLO","No","2025"
"502","HAM-036","HAM","36",14,NA,NA,43.27139,-79.8695,NA,NA,2025-08-01 15:30:00,2025-11-19 18:30:00,2.7,0.5,NA,"VR2W",69,131493,"Generation-2",NA,NA,NA,"No","HAMLO","No","2025"
"503","HAM-043","HAM","43",10,NA,NA,43.27957,-79.8915,NA,NA,2025-08-01 16:00:00,NA,1,NA,0.3,"VR2W",69,121999,NA,"code map not available (receiver currently deployed)",NA,NA,"No","HAMLO","No","2025"
"504","HAM-063","HAM","63",8,NA,NA,43.2822,-79.88451,NA,NA,2025-08-01 16:00:00,2025-11-19 17:05:00,1.5,NA,NA,"VR2W",69,127827,"Generation-2",NA,NA,NA,"No","HAMLO","No","2025"
"505","HAM-058","HAM","58",9,NA,NA,43.31292,-79.8061,NA,NA,2025-08-01 16:30:00,NA,1.2,NA,0.3,"VR2W",69,124717,NA,"code map not available (receiver currently deployed)",NA,NA,"No","HAMLO","No","2025"
"506","HAM-034","HAM","34",14,NA,NA,43.27142,-79.80812,NA,NA,2025-08-06 15:50:00,NA,1.2,0.3,NA,"VR2W",69,121993,NA,"code map not available (receiver currently deployed)",NA,NA,"No","HAMLO","No","2025"
"507","HAM-041","HAM","41",12,NA,NA,43.2767,-79.83893,NA,NA,2025-08-06 17:05:00,2025-11-19 17:55:00,NA,NA,NA,"VR2W",69,133001,"Generation-2",NA,NA,NA,"No","HAMLO","No","2025"
"508","HAM-046","HAM","46",11,NA,NA,43.30771,-79.82588,NA,NA,2025-08-07 14:20:00,2025-11-25 16:15:00,1.9,0.9,1,"VR2W",69,121988,"Generation-2",NA,NA,NA,"No","HAMLO","No","2025"
"509","WLN-006","WLN","6",11,NA,NA,43.49017,-79.59021,NA,NA,2025-08-22 14:30:00,NA,17.5,1.5,NA,"VR2WAR",69,548275,NA,"code map not available (receiver currently deployed)","DFO","new coordinates","No","WLONA","No","2025"
"510","WLN-044","WLN","44",3,NA,NA,43.40945,-79.65889,NA,NA,2025-08-22 14:45:00,NA,32.4,1.5,NA,"VR2WAR",69,549098,NA,"code map not available (receiver currently deployed)","DFO","replaced with new receiver; new coordinates","No","WLONA","No","2025"
"511","WLN-045","WLN","45",3,NA,NA,43.40183,-79.64084,NA,NA,2025-08-22 14:55:00,NA,49.9,1.5,NA,"VR2WAR",69,547992,NA,"code map not available (receiver currently deployed)","DFO","replaced with new receiver; new coordinates","No","WLONA","No","2025"
"512","HAM-035","HAM","35",10,NA,NA,43.26228,-79.77238,NA,NA,2025-08-28 14:10:00,NA,2,NA,NA,"VR2W",69,137956,NA,"code map not available (receiver currently deployed)",NA,NA,"No","HAMLO","No","2025"
"513","HAM-033","HAM","33",12,NA,NA,43.29215,-79.88395,NA,NA,2025-08-28 15:25:00,NA,0.7,NA,NA,"VR2W-Tx",69,487630,NA,"code map not available (receiver currently deployed)",NA,NA,"No","HAMLO","No","2025"
"514","WLN-009","WLN","9",10,NA,NA,43.22352,-79.45905,NA,NA,2025-09-23 16:56:00,NA,19.3,1.5,NA,"VR2WAR",69,547606,NA,"code map not available (receiver currently deployed)","DFO",NA,"No","WLONA","No","2025"
"515","HAM-032","HAM","32",13,NA,NA,43.27973,-79.89346,NA,NA,2025-10-02 17:05:00,NA,1.85,NA,NA,"VR2W",69,131523,NA,"code map not available (receiver currently deployed)",NA,NA,"No","HAMLO","No","2025"
"516","HAM-013","HAM","13",13,NA,NA,43.29691,-79.80157,NA,NA,2025-10-21 15:53:00,NA,11.2,1.5,NA,"VR2AR",69,552890,NA,"code map not available (receiver currently deployed)",NA,NA,"No","HAMLO","No","2025"
